Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
44560,70919,467,161,11501,7194,137,1236,1186.11,479.88,36,38.62,17.09,56,3,537.8,74.14,301,220,BENIGN
49076,4468,371,144,14837,3539,1237,376,307.75,415.93,20,21.68,35.88,97,32,236.55,47.99,747,490,MALICIOUS
6689,96486,359,256,3750,4597,837,343,1376.44,47.72,36,60.42,21.64,7,29,12.47,56.64,322,183,BENIGN
32270,86512,192,82,14169,12148,895,947,898.92,18.48,21,89.57,47.21,3,21,259.5,457.72,750,410,BENIGN
57343,64304,194,194,832,10750,1071,58,303.98,138.9,35,6.21,41.08,38,10,43.84,53.56,159,374,MALICIOUS
50183,575,304,238,7489,9911,456,186,963.17,132.0,27,64.25,14.12,81,28,176.35,20.01,744,96,MALICIOUS
24348,16452,249,376,1447,9464,826,72,207.96,324.91,37,76.41,11.14,53,38,791.46,454.75,632,493,BENIGN
55534,24068,202,498,8181,11699,1330,1064,429.1,297.47,35,87.33,16.55,14,17,147.78,433.26,383,86,BENIGN
60392,82037,184,260,11676,1567,24,1088,1373.3,67.58,37,83.41,13.56,0,11,741.63,343.8,243,25,BENIGN
17722,63020,186,366,12961,8774,632,688,962.14,412.97,21,43.74,16.13,23,19,0.25,447.62,414,443,BENIGN
21369,73261,334,81,4373,5114,570,929,201.93,204.1,38,56.25,14.71,28,32,273.27,417.19,676,182,BENIGN
33833,74580,235,150,471,3567,898,179,749.47,426.43,38,0.15,16.23,42,32,704.56,293.03,715,36,MALICIOUS
2747,97044,487,71,685,14461,646,494,784.17,269.7,38,32.28,5.82,99,33,400.28,257.62,293,329,BENIGN
14629,76136,380,269,12039,11946,1444,270,446.05,27.28,33,46.64,36.47,28,35,992.22,241.65,166,250,BENIGN
15983,4500,404,424,8477,7493,536,1460,1234.23,401.98,24,98.62,7.45,23,5,607.79,281.06,40,75,MALICIOUS
1338,96958,368,12,3545,13719,923,668,836.16,361.16,35,34.54,11.2,46,44,475.04,253.92,822,15,BENIGN
6373,24805,438,129,3798,4094,851,1178,1416.25,43.93,22,43.37,42.97,96,35,338.18,449.51,829,86,BENIGN
42611,62348,239,100,3021,7705,1066,618,575.67,329.43,29,34.99,4.09,72,35,265.91,130.54,14,334,BENIGN
43611,45628,139,120,5038,12790,1430,788,1224.42,141.18,34,25.92,16.38,42,24,804.64,231.98,502,301,BENIGN
44027,4188,350,9,10891,6946,876,949,1275.61,175.44,27,21.76,32.31,39,28,645.44,158.04,951,6,BENIGN
40601,168,312,160,2535,4194,1391,837,178.32,287.87,29,61.66,29.45,67,19,227.66,496.15,350,402,BENIGN
36609,25494,319,225,1843,6601,1045,529,704.98,212.75,25,1.48,48.11,31,44,845.29,233.7,475,176,BENIGN
5894,40824,282,320,8031,10333,208,797,767.52,492.26,23,6.69,8.32,82,14,77.09,449.77,714,283,BENIGN
53909,55465,391,285,6313,13392,1360,1193,1373.17,271.37,38,54.68,47.18,52,0,540.35,399.11,705,182,BENIGN
56273,20648,396,351,8255,7786,231,1487,56.14,462.72,36,17.64,19.6,19,3,79.37,257.76,327,232,BENIGN
1414,30451,318,263,14124,3817,757,624,671.95,189.88,34,95.43,22.56,98,5,234.55,342.01,76,364,MALICIOUS
12422,53850,435,153,9174,8203,277,1270,780.86,497.71,22,30.74,7.02,2,33,28.99,487.61,494,52,BENIGN
23791,32102,449,373,2620,8204,462,431,899.58,291.61,30,85.45,0.3,38,20,968.62,49.17,842,471,BENIGN
7832,43911,422,324,6356,2535,493,21,416.65,276.54,24,23.94,46.31,90,33,129.65,320.19,831,20,BENIGN
26065,42308,287,83,3024,11535,1085,1066,1090.97,366.27,38,58.26,3.72,91,46,386.83,217.31,839,456,BENIGN
10315,86129,265,265,2285,9691,1192,557,222.24,92.49,37,30.22,30.71,48,19,353.5,411.64,627,57,MALICIOUS
61195,93935,443,199,7448,6130,350,1258,1034.44,471.54,27,71.77,49.53,24,26,383.51,203.02,943,482,MALICIOUS
55088,98841,135,177,9832,10908,984,1358,1195.89,416.44,34,59.7,16.43,14,49,187.04,267.79,771,312,MALICIOUS
42016,95724,36,58,12622,14294,1171,344,875.73,272.56,35,41.07,37.02,4,38,551.02,115.1,25,283,BENIGN
47132,44335,377,236,4270,12014,195,1328,975.4,116.3,22,5.97,41.1,9,20,520.43,395.8,662,498,BENIGN
57470,55098,137,311,7452,2384,1046,191,401.42,322.35,20,27.78,6.87,41,11,711.88,360.95,23,225,MALICIOUS
36860,95167,246,312,8215,5413,1294,547,1183.12,372.54,29,82.67,17.8,28,9,760.69,351.51,444,334,BENIGN
64654,24619,494,6,1569,13774,8,46,1483.52,473.21,28,42.97,17.13,57,17,221.53,317.39,530,159,MALICIOUS
18031,72529,268,20,4384,8641,474,1436,1235.16,166.67,30,26.98,6.65,9,48,372.37,241.53,560,419,BENIGN
29288,57031,310,348,1233,12420,1487,433,931.39,231.77,24,84.26,44.41,7,26,434.52,354.84,939,412,MALICIOUS
48876,23417,344,34,6961,4321,631,111,781.62,388.33,38,82.84,17.09,30,32,336.52,428.04,754,382,BENIGN
31234,31074,136,377,10923,385,426,871,596.06,102.45,37,27.09,47.11,37,0,862.03,165.16,76,492,BENIGN
28570,56400,53,97,13281,7202,1298,408,282.35,157.25,27,74.54,48.45,94,15,766.51,130.41,501,420,MALICIOUS
13760,94386,455,168,712,9770,214,1111,269.43,248.03,34,75.21,6.58,92,14,904.37,318.41,718,386,BENIGN
7426,7793,154,307,14501,3786,249,907,1323.45,337.92,35,76.25,36.11,29,42,14.49,296.76,759,298,BENIGN
3636,22338,63,189,12542,12318,1423,1010,418.17,113.78,21,18.67,39.81,18,35,689.89,479.92,769,179,BENIGN
32419,85285,299,140,8447,6444,733,1402,65.23,55.01,23,48.26,17.11,75,43,72.61,455.72,526,125,BENIGN
25868,12902,211,307,2884,12435,774,655,1208.12,63.47,23,98.86,48.91,90,41,720.12,52.07,602,495,BENIGN
16976,35660,370,24,6648,284,996,136,1017.32,397.9,31,98.05,41.95,88,4,374.39,417.52,999,457,BENIGN
13345,23675,142,286,10487,13293,225,1042,864.65,456.34,27,41.01,31.07,50,12,625.17,264.59,888,180,MALICIOUS
45453,72269,216,360,10657,767,685,975,623.94,180.16,30,39.3,48.17,38,47,315.27,494.1,948,52,BENIGN
2165,85807,319,279,13160,10749,184,51,1378.13,387.68,20,31.33,12.94,77,8,412.24,385.33,607,419,MALICIOUS
42335,35725,92,408,13704,14214,859,1209,786.5,345.77,31,35.5,33.88,71,38,844.25,462.85,908,151,MALICIOUS
64344,39498,349,14,2508,4384,386,7,1205.19,218.82,26,15.47,35.02,95,28,121.7,197.7,157,473,BENIGN
42539,18627,289,368,6821,6993,1197,531,1110.85,182.34,24,40.17,37.9,30,23,923.77,390.63,565,421,BENIGN
35082,39569,364,424,669,13326,1232,880,1056.35,77.74,25,78.69,38.51,16,18,811.42,456.7,731,499,BENIGN
43257,53342,56,394,1208,577,1445,639,298.52,85.82,27,72.07,5.52,15,24,429.94,59.38,8,67,MALICIOUS
44063,29922,48,151,1190,4099,951,954,1407.85,158.11,39,35.79,16.24,39,37,688.6,163.32,809,108,MALICIOUS
36685,92580,24,84,6556,14773,1187,79,964.99,25.34,23,79.59,10.83,53,32,676.95,155.85,660,217,MALICIOUS
35829,64485,374,20,1125,11348,202,19,310.87,479.76,30,28.43,21.75,16,45,357.95,49.94,546,48,BENIGN
39355,11330,363,18,3677,8138,6,418,723.37,490.23,29,90.94,16.79,43,26,88.99,375.09,349,464,BENIGN
48471,87986,335,210,5086,13393,1059,1319,18.65,241.37,22,15.54,38.22,94,14,745.78,177.5,519,35,BENIGN
53196,87701,250,412,6916,3517,1485,361,10.56,457.85,39,42.78,21.59,15,16,31.07,488.21,557,473,BENIGN
7799,648,155,41,7934,2523,1130,603,407.59,198.94,32,6.85,11.99,24,27,942.22,82.73,670,84,BENIGN
11699,11012,427,3,12278,1630,1386,1199,392.1,13.54,25,42.84,5.6,68,17,652.94,8.71,490,277,BENIGN
60580,94802,287,450,5736,6178,1072,840,268.6,75.85,24,84.05,3.71,67,1,125.29,217.07,561,87,BENIGN
14078,54980,414,381,12512,5342,855,136,985.56,161.11,36,37.72,20.4,6,11,351.14,411.8,679,44,BENIGN
56326,63688,498,391,9783,9325,717,1388,619.81,265.17,20,16.67,16.38,29,35,564.31,436.03,488,297,BENIGN
4249,79482,214,326,5463,11010,369,755,89.72,302.32,33,61.63,33.57,24,40,102.33,205.0,303,1,BENIGN
39954,23025,367,361,4279,8634,1410,546,1001.02,333.66,28,58.12,45.31,20,15,171.59,343.36,976,405,BENIGN
50915,6030,359,488,10530,14068,176,1459,691.68,414.63,21,66.81,39.03,32,34,990.46,310.55,191,398,BENIGN
33826,46310,212,401,10123,11338,1139,50,809.07,253.64,33,25.47,19.44,3,5,866.31,421.94,300,177,BENIGN
59601,67422,68,71,3125,5365,1241,1343,659.25,175.69,36,96.07,32.02,93,34,375.32,280.89,14,170,BENIGN
21966,82533,409,81,11017,6945,500,10,1391.94,203.61,22,69.98,2.79,16,16,421.21,448.56,382,468,BENIGN
34596,50610,63,274,4472,6105,787,59,1037.84,219.78,21,75.97,47.9,90,28,505.69,265.45,564,391,BENIGN
20187,53931,93,296,1222,2631,1279,702,714.22,37.24,26,91.38,42.58,12,43,141.27,459.9,134,418,BENIGN
38246,39026,221,143,9597,835,352,1350,175.37,33.19,27,25.2,35.76,60,7,312.8,289.83,914,51,BENIGN
58724,57324,299,477,12019,2180,606,1227,857.97,79.91,38,53.86,43.8,21,0,310.13,275.33,441,317,BENIGN
20762,12747,351,499,11267,2048,257,1123,1271.42,278.83,31,15.33,41.16,19,31,671.12,479.89,506,190,BENIGN
43276,29438,296,75,3880,3136,745,140,200.04,152.52,38,44.4,27.42,52,20,468.94,20.87,280,421,BENIGN
33184,65836,261,184,3705,1653,587,736,558.47,268.1,35,27.21,21.22,38,49,288.47,401.53,907,490,BENIGN
9828,47165,460,415,14970,10836,749,438,611.7,210.46,24,88.92,22.84,13,43,115.79,404.85,458,412,BENIGN
33151,45563,219,333,7108,6518,407,52,1321.01,217.29,23,73.45,27.06,47,39,78.89,113.87,892,13,BENIGN
46731,93843,93,215,8501,14712,587,1126,1172.07,318.4,27,27.46,40.52,30,47,712.4,414.69,644,486,BENIGN
34705,90369,17,118,1672,3052,1043,1065,595.16,186.74,29,86.71,26.17,49,29,696.28,28.22,819,199,BENIGN
61160,198,338,127,7322,2056,36,540,655.09,240.89,33,12.24,46.07,7,41,945.31,377.51,714,485,BENIGN
13546,88686,368,153,394,606,1057,510,718.76,111.54,24,13.9,16.61,28,1,419.89,499.24,86,432,BENIGN
53662,51059,489,482,2774,6174,122,1320,987.22,272.85,23,74.93,13.21,66,1,621.65,472.46,195,289,BENIGN
15407,46087,270,326,3115,8932,964,1037,1312.21,164.85,22,21.27,48.03,47,38,254.19,58.01,704,73,MALICIOUS
11508,1697,434,91,6510,5790,956,960,1435.62,444.27,33,71.41,35.06,3,11,776.59,72.84,313,199,BENIGN
48890,27119,356,67,6565,808,410,1045,1387.38,309.27,34,4.2,29.55,40,43,357.82,353.31,371,89,BENIGN
18906,55425,148,496,5210,10008,1099,575,1074.45,44.13,32,34.01,0.8,71,33,26.78,109.43,840,101,MALICIOUS
22262,75788,177,39,10798,8215,614,1212,1293.81,327.53,31,76.5,12.25,66,9,889.12,238.07,311,407,MALICIOUS
54151,70231,329,172,2391,11474,1296,1181,1088.69,400.18,36,23.87,7.5,27,24,96.42,413.26,6,483,BENIGN
39686,58018,458,46,10722,6771,675,1165,570.84,420.94,37,64.53,38.06,32,23,300.83,8.94,368,103,BENIGN
36931,8546,483,295,5527,7928,106,807,942.61,192.88,36,19.8,9.51,89,31,39.93,78.03,596,305,BENIGN
35463,23354,203,343,13943,14185,402,116,610.37,237.25,26,0.89,49.95,53,26,284.77,154.68,221,206,MALICIOUS
56726,91824,481,217,11884,6560,629,1058,64.88,178.02,22,43.13,47.16,20,11,270.56,468.34,381,64,BENIGN
50795,54086,132,238,6623,5780,285,512,5.45,316.12,27,48.14,19.15,6,4,734.9,471.38,685,18,BENIGN
4851,91837,187,154,9482,4176,762,829,675.22,47.84,25,95.46,19.67,20,32,905.63,114.28,914,29,MALICIOUS
24603,95683,46,345,2990,8632,1271,1272,1093.67,410.68,32,34.03,16.84,70,6,783.86,357.54,440,389,MALICIOUS
8063,33440,288,471,10320,1732,748,531,875.02,259.8,29,11.85,38.48,30,7,541.37,111.66,252,34,MALICIOUS
48427,59951,151,23,13080,10858,248,1377,496.48,265.59,34,13.8,32.49,71,38,279.98,49.4,897,324,MALICIOUS
55123,64610,210,323,11896,3270,192,475,956.03,125.47,26,59.33,44.47,62,44,77.59,493.74,931,79,BENIGN
51619,77794,277,182,4815,10908,753,1001,813.99,328.36,38,28.0,3.86,44,27,801.5,477.04,160,230,BENIGN
36365,83607,350,429,2189,10359,247,1008,1076.95,93.68,35,58.56,1.96,0,23,273.17,3.07,978,227,BENIGN
7542,47777,82,376,2469,14502,464,1322,575.9,266.74,39,78.21,11.07,77,24,120.28,245.38,12,193,MALICIOUS
24207,81283,37,32,249,8192,905,1496,348.22,131.77,30,84.51,44.1,42,47,137.96,311.54,704,416,BENIGN
